Year,Angola,CotedIvoire,Ghana,Nigeria,CongoDR,Somalia,SouthAfrica,Benin,Botswana,BurkinaFaso,Burundi,Cameroon,CapeVerde,CentralAfricanRepublic,Chad,Comoros,CongoR,Djibouti,Ethiopia,Gabon,TheGambia,Guinea,GuineaBissau,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mali,Mauritania,Mozambique,Mauritius,Namibia,Niger,Rwanda,Senegal,SierraLeone,SouthSudan,Swaziland,Tanzania,Togo,Uganda,Zambia,Zimbabwe
1960,10.4,17.7,23.3,15.4,22.3,17.3,46.6,9.275,3.06,4.7,2.077,13.937,16.679,20.1,6.695,12.551,31.601,50.325,6.433,17.398,12.129,10.472,13.6,7.362,3.512,18.632,10.642,4.39,11.066,6.88,4.769,33.177,17.909,5.793,2.6,23,17.352,8.748,3.913,5.246,10.098,4.417,18.145,12.608
1961,10.8,18.9,23.8,15.6,22.5,17.8,46.8,9.856,3.097,4.796,2.115,14.488,16.948,20.751,6.962,13.348,32.318,51.448,6.65,18.33,12.331,10.936,13.747,7.565,3.96,19.291,10.971,4.489,11.361,7.435,4.949,33.637,18.334,5.896,2.654,23.645,17.903,8.737,4.335,5.394,10.94,4.617,18.951,12.821
1962,11.2,20.2,24.4,15.9,22.7,18.4,46.9,10.47,3.134,4.893,2.154,15.058,17.224,21.418,7.239,14.189,33.045,52.619,6.874,19.594,12.535,11.418,13.895,7.774,4.464,19.969,11.309,4.59,11.662,8.031,5.144,34.103,18.748,6,2.71,24.303,18.467,8.725,4.8,5.547,11.844,4.826,19.785,13.082
1963,11.6,21.6,24.9,16.1,23,18.9,47,11.118,3.171,4.993,2.193,15.647,17.503,22.1,7.527,15.074,33.78,53.787,7.104,20.923,12.862,11.919,14.045,8.038,5.029,20.664,11.657,4.694,11.97,8.671,5.345,35.056,19.17,6.259,2.766,24.973,19.06,8.714,5.312,5.704,12.811,5.045,20.712,13.578
1964,12.1,23,25.5,16.3,23.2,19.5,47.1,11.801,3.318,5.095,2.233,16.255,17.787,22.803,7.877,16.004,34.524,54.952,7.342,22.318,13.677,12.439,14.197,8.318,5.661,21.378,12.014,4.8,12.286,9.357,5.555,36.023,19.6,6.529,2.824,25.657,19.712,8.702,5.876,5.865,13.847,5.273,22.015,14.092
1965,12.5,24.5,26.1,16.6,23.4,20,47.2,12.519,3.839,5.198,2.294,16.88,18.073,23.519,8.406,16.978,35.273,56.109,7.587,23.775,14.533,12.978,14.349,8.605,6.366,22.108,12.379,4.908,12.608,10.09,5.771,36.999,20.035,6.809,2.882,26.351,20.379,8.69,6.494,6.03,14.95,5.509,23.372,14.62
1966,13,25.2,26.7,16.8,23.7,20.5,47.4,13.275,4.437,5.303,2.395,17.525,18.363,24.252,8.968,18,36.031,57.26,7.84,25.297,15.433,13.537,14.503,8.902,7.065,22.856,12.747,5.018,12.938,10.874,5.996,37.987,20.478,7.1,2.942,27.057,21.064,8.679,7.157,6.199,16.125,5.757,24.789,15.165
1967,13.4,25.9,27.3,17,23.9,21,47.5,14.069,5.124,5.411,2.501,18.19,18.657,25,9.564,18.34,36.796,58.404,8.1,26.883,16.379,14.116,14.658,9.209,7.425,23.622,13.074,5.249,13.274,11.712,6.229,38.985,20.929,7.493,3.003,27.776,21.765,8.667,7.729,6.373,17.374,6.014,26.261,15.727
1968,13.9,26.7,27.9,17.3,24.1,21.6,47.6,14.903,5.912,5.52,2.611,18.875,18.954,25.815,10.196,18.685,37.569,59.54,8.26,28.533,17.373,14.716,14.815,9.525,7.802,24.407,13.41,5.505,13.619,12.606,6.471,39.994,21.387,7.906,3.066,28.507,22.484,8.656,8.344,6.804,18.7,6.283,27.791,16.306
1969,14.4,27.4,28.5,17.5,24.4,22.1,47.7,15.776,6.81,5.632,2.726,19.577,19.255,26.645,10.862,19.035,38.345,60.664,8.422,30.237,18.41,15.336,14.972,9.85,8.196,25.207,13.751,5.773,13.971,13.554,6.72,41.008,21.852,8.339,3.129,29.247,23.218,8.645,9.001,7.311,20.098,6.562,29.37,16.88
