CountryName,CountryCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800000008,7.900000004,5.599999981,0.400000019,-0.300000019,-1.199999989,-6.900000002,-24.69999999,3.499999989,10.40000002,11.19999997,7.90000001,6.804762116,3.239799671,3.012076171,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,3.006980545,0,
Burundi,BDI,,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,-3.904919355,-0.587220798,
Benin,BEN,,3.141280459,-3.426409823,4.730027975,6.650759119,5.293862834,3.575862733,1.078398666,3.842335636,2.877497976,2.097757578,-1.496841828,6.426367544,3.706165319,3.339312161,-4.895345445,0.884356333,4.983663725,1.255078032,6.535747409,6.781763872,9.954231167,2.235066345,-4.347822734,7.929839564,7.530324837,2.171141598,-1.500002949,3.405245295,-2.854160496,8.976134361,4.225799419,2.957710826,5.836172088,2.020400448,6.045198648,4.324284031,5.734688377,3.961012138,5.341449372,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.810283413,7.193096519,6.357520953,2.094457981,3.981287767,
Burkina Faso,BFA,,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,2.814663076,4.185944746,3.998022357,5.861690066,
Botswana,BWA,,6.343283719,6.666667814,5.921045096,6.832300927,5.813955063,6.344019093,5.924559943,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795217,8.446250376,10.64737671,12.01204009,14.33280159,12.14858892,11.98690138,9.064857465,12.16553186,13.14672905,8.54538364,7.125271269,8.172924333,11.88192814,19.44996951,13.05940589,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.276763758,6.245437398,-7.652310203,8.563631748,6.048316381,4.456167218,11.34342423,4.149252734,-1.699936086,2.9,
Central African Republic,CAF,,4.953553798,-3.713800184,-0.707010752,2.080324599,0.947578712,0.64478372,4.676613109,1.404113177,7.091542528,2.332880877,1.130202384,-0.000867175,1.888939956,6.339033612,0.404987104,5.432518987,3.806234914,1.209235419,-2.465137785,-4.478638848,-1.544465665,7.715783631,-8.126513593,9.481726653,3.927219538,3.577979254,-4.938987885,1.710165285,1.977270435,-2.147528066,-0.552543005,-6.424078199,0.335275685,4.89994941,7.200045558,-4.000092964,5.299936018,4.700142379,3.599974904,-2.48943244,4.464739026,3.616542192,-5.397485219,5.994884228,0.908210515,4.77108543,4.607534855,2.054130962,1.70923922,3.046634733,3.300719157,4.112797869,-36.69995244,1.040018047,4.799886081,4.531285963,
Cote d'Ivoire,CIV,,9.932555156,1.22699449,14.49035586,17.61308783,-3.109654273,11.57735969,4.598151785,12.54824864,9.539218771,10.37503184,9.456637661,4.236625012,5.939197536,4.327380857,8.252886369,12.91639744,7.314459155,10.90945365,2.394407464,-10.95769727,3.500498907,0.200822352,-3.900240442,-2.701261434,4.501223175,3.259348767,-0.348972909,1.136483964,2.948004945,-1.095908411,0.040925169,-0.244560612,-0.1924851,0.811206685,7.125744724,7.729327422,3.743553144,4.930679628,1.617527443,-2.068400057,0.121371915,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387254788,10.7065041,8.889421302,8.79407739,9.163380703,8.755110465,
Cameroon,CMR,,1.183680812,3.041559051,3.74255032,3.547159696,2.026053715,4.614955621,-10.91206559,6.346323856,4.901479523,3.092068236,3.479707817,2.673843292,5.355680778,10.73426226,11.24505877,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291669,17.08268225,7.516202606,6.866830566,7.474572543,8.063161672,6.77166308,-2.146650212,-7.823631975,-1.819120513,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.063402475,4.128370945,4.911939543,5.314158464,4.895359526,4.062278838,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129,5.926964959,5.773247581,4.526098051,
"Congo, Dem. Rep.",COD,,-10.85137608,21.20069751,5.213990134,-2.440223564,0.997348794,6.775485302,-0.985738661,4.332698464,9.328837439,-0.245056575,6.005018067,0.151135514,8.137275887,3.130585879,-4.981631005,-5.309002081,0.760793602,-5.345291528,0.430088262,2.194912924,2.350524075,-0.457677609,1.411703688,5.541074022,0.467850951,4.717209653,2.675642451,0.470381337,-1.266050636,-6.568310695,-8.421051499,-10.50000856,-13.46905054,-3.899996803,0.69999883,-1.023172642,-5.617046599,-1.624154045,-4.270140831,-6.910927317,-2.100173025,2.947765184,5.577822311,6.738373933,6.135151155,5.320981058,6.259469847,6.225900286,2.855060107,7.078889424,6.864630026,7.157859628,8.503503317,9.509963565,6.88273,2.205299999,
"Congo, Rep.",COG,,8.350726724,5.202308789,-4.029300398,3.816796268,3.676467736,1.358982462,2.116272058,7.631326238,7.548525194,6.358470188,7.753035853,8.617550844,8.231188944,7.885520809,7.731596839,0.916286753,-8.953427981,6.35974701,9.813224739,17.63660548,17.61972247,23.59769996,5.85396284,6.976131056,-1.185660855,-6.861526437,0.189376641,1.766263429,2.599876517,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249,6.779940953,2.646447938,-1.86466295,
